run_id,manifest_path,checkpoint_path,model_type,base_channels,use_se,loss_type,hard_mining_ratio,augment_enabled,augment_factor,use_mixup,budget_per_class,budget_seed,used_pretrained_init,target_db5_keys,incremental_mode,incremental_reused_class_count,incremental_new_class_count,test_accuracy,test_macro_f1,test_macro_recall,event_action_accuracy,event_action_macro_f1,top_confusion_pair
s3_demo3_0317_ma_long_c2_s52,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_demo3_seed52_v2.json,artifacts/runs/s3_demo3_0317_ma_long_c2_s52/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.9230769230769231,0.8041666666666667,0.7916666666666666,0.75,0.7388888888888889,TENSE_OPEN<->THUMB_UP:2
s3_demo3_0317_ma_long_c2_s62,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_demo3_seed62_v2.json,artifacts/runs/s3_demo3_0317_ma_long_c2_s62/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8846153846153846,0.7106643356643356,0.75,0.625,0.6142191142191141,THUMB_UP<->WRIST_CW:3
s3_demo3_0317_ctrl08_baseline_s52,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ctrl08_demo3_seed52_v2.json,artifacts/runs/s3_demo3_0317_ctrl08_baseline_s52/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8269230769230769,0.49871794871794867,0.5416666666666666,0.4375,0.3316239316239316,THUMB_UP<->WRIST_CW:5
s3_demo3_0317_ctrl08_baseline_s62,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ctrl08_demo3_seed62_v2.json,artifacts/runs/s3_demo3_0317_ctrl08_baseline_s62/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8846153846153846,0.694327731092437,0.7083333333333334,0.625,0.592436974789916,THUMB_UP<->WRIST_CW:3
s3_demo3_0317_ctrl35_baseline_s52,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ctrl35_demo3_seed52_v2.json,artifacts/runs/s3_demo3_0317_ctrl35_baseline_s52/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,24,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8846153846153846,0.7229166666666667,0.7083333333333334,0.625,0.6305555555555555,THUMB_UP<->WRIST_CW:4
s3_demo3_0317_ctrl35_baseline_s62,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ctrl35_demo3_seed62_v2.json,artifacts/runs/s3_demo3_0317_ctrl35_baseline_s62/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,24,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8846153846153846,0.6875,0.7083333333333334,0.625,0.5833333333333334,TENSE_OPEN<->THUMB_UP:2
s3_demo3_0317_ma_long_c1_s42,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_ma_long_c1_s42/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8076923076923077,0.6361051883439943,0.6944444444444444,0.6875,0.6251526251526252,CONTINUE<->WRIST_CW:5
s3_demo3_0317_ma_long_c1_s52,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_demo3_seed52_v2.json,artifacts/runs/s3_demo3_0317_ma_long_c1_s52/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8653846153846154,0.6932543200148833,0.7013888888888888,0.625,0.6142191142191141,TENSE_OPEN<->THUMB_UP:3
s3_demo3_0317_ma_long_c1_s62,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_demo3_seed62_v2.json,artifacts/runs/s3_demo3_0317_ma_long_c1_s62/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8653846153846154,0.65625,0.6666666666666667,0.5625,0.5416666666666666,TENSE_OPEN<->THUMB_UP:3
s3_demo3_0317_ma_long_c2_s42,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_ma_long_c2_s42/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8846153846153846,0.7595238095238095,0.7986111111111112,0.75,0.7299145299145299,TENSE_OPEN<->THUMB_UP:3
s3_demo3_0317_ma_long_c2_s52,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_demo3_seed52_v2.json,artifacts/runs/s3_demo3_0317_ma_long_c2_s52/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8846153846153846,0.6785714285714285,0.6875,0.625,0.5714285714285715,TENSE_OPEN<->THUMB_UP:2
s3_demo3_0317_ma_long_c2_s62,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_demo3_seed62_v2.json,artifacts/runs/s3_demo3_0317_ma_long_c2_s62/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8461538461538461,0.625,0.625,0.5,0.5,TENSE_OPEN<->THUMB_UP:4
s3_demo3_0317_ma_nbr_01_ref_lcb_focal_bc16_fz6_elr0p24,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_ma_nbr_01_ref_lcb_focal_bc16_fz6_elr0p24/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8846153846153846,0.8019607843137255,0.8472222222222222,0.875,0.8412698412698413,CONTINUE<->WRIST_CW:3
s3_demo3_0317_ma_nbr_02_lr_down_lcb_focal_bc16_fz6_elr0p192,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_ma_nbr_02_lr_down_lcb_focal_bc16_fz6_elr0p192/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8461538461538461,0.6127069434148752,0.6388888888888888,0.5625,0.5,TENSE_OPEN<->WRIST_CW:3
s3_demo3_0317_ma_nbr_03_lr_up_lcb_focal_bc16_fz6_elr0p288,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_ma_nbr_03_lr_up_lcb_focal_bc16_fz6_elr0p288/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8076923076923077,0.6269607843137255,0.6805555555555556,0.625,0.5857142857142857,CONTINUE<->WRIST_CW:4
s3_demo3_0317_ma_nbr_04_freeze_down_lcb_focal_bc16_fz4_elr0p24,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_ma_nbr_04_freeze_down_lcb_focal_bc16_fz4_elr0p24/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8846153846153846,0.7463702537871335,0.7916666666666666,0.8125,0.7267399267399267,CONTINUE<->WRIST_CW:3
s3_demo3_0317_ma_nbr_05_freeze_up_lcb_focal_bc16_fz8_elr0p24,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_ma_nbr_05_freeze_up_lcb_focal_bc16_fz8_elr0p24/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.7884615384615384,0.6174543946932006,0.6736111111111112,0.625,0.5814814814814815,CONTINUE<->WRIST_CW:5
s3_demo3_0317_ma_b10_baseline_s42,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_ma_b10_baseline_s42/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8653846153846154,0.7629551820728291,0.8055555555555556,0.8125,0.775946275946276,CONTINUE<->WRIST_CW:4
s3_demo3_0317_scr_tuned_scr_01_lcross_entropy_bc16_fz6_elr0p24_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_01_lcross_entropy_bc16_fz6_elr0p24_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8269230769230769,0.732568773778168,0.7777777777777778,0.75,0.7488344988344987,CONTINUE<->WRIST_CW:4
s3_demo3_0317_scr_tuned_scr_02_lcross_entropy_bc16_fz6_elr0p3_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_02_lcross_entropy_bc16_fz6_elr0p3_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.9038461538461539,0.7561188811188811,0.75,0.6875,0.6748251748251749,TENSE_OPEN<->THUMB_UP:4
s3_demo3_0317_scr_tuned_scr_03_lcross_entropy_bc16_fz6_elr0p36_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_03_lcross_entropy_bc16_fz6_elr0p36_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8846153846153846,0.7463702537871335,0.7916666666666666,0.8125,0.7267399267399267,CONTINUE<->WRIST_CW:3
s3_demo3_0317_scr_tuned_scr_04_lcross_entropy_bc16_fz8_elr0p24_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_04_lcross_entropy_bc16_fz8_elr0p24_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8461538461538461,0.6561032863849765,0.6736111111111112,0.625,0.5908496732026144,TENSE_OPEN<->THUMB_UP:3
s3_demo3_0317_scr_tuned_scr_05_lcross_entropy_bc16_fz8_elr0p3_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_05_lcross_entropy_bc16_fz8_elr0p3_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.9230769230769231,0.9227941176470589,0.9722222222222222,1.0,1.0,CONTINUE<->WRIST_CW:4
s3_demo3_0317_scr_tuned_scr_06_lcross_entropy_bc16_fz8_elr0p36_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_06_lcross_entropy_bc16_fz8_elr0p36_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.9423076923076923,0.8642857142857143,0.8541666666666666,0.8125,0.8190476190476191,THUMB_UP<->WRIST_CW:2
s3_demo3_0317_scr_tuned_scr_07_lcross_entropy_bc16_fz10_elr0p24_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_07_lcross_entropy_bc16_fz10_elr0p24_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8653846153846154,0.7855099502487561,0.8402777777777778,0.875,0.8412698412698413,CONTINUE<->WRIST_CW:4
s3_demo3_0317_scr_tuned_scr_08_lcross_entropy_bc16_fz10_elr0p3_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_08_lcross_entropy_bc16_fz10_elr0p3_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.9423076923076923,0.8772481040086674,0.9097222222222222,0.875,0.8706552706552707,CONTINUE<->TENSE_OPEN:1
s3_demo3_0317_scr_tuned_scr_09_lcross_entropy_bc16_fz10_elr0p36_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_09_lcross_entropy_bc16_fz10_elr0p36_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.9038461538461539,0.8722890671420084,0.9305555555555556,0.9375,0.9326599326599326,CONTINUE<->WRIST_CW:4
s3_demo3_0317_scr_tuned_scr_10_lcross_entropy_bc24_fz6_elr0p24_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_10_lcross_entropy_bc24_fz6_elr0p24_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,24,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.7692307692307693,0.5101894374282434,0.5902777777777778,0.5625,0.42735042735042733,CONTINUE<->WRIST_CW:5
s3_demo3_0317_scr_tuned_scr_11_lcross_entropy_bc24_fz6_elr0p3_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_11_lcross_entropy_bc24_fz6_elr0p3_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,24,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8653846153846154,0.8017532657567776,0.8611111111111112,0.875,0.8607226107226107,CONTINUE<->WRIST_CW:4
s3_demo3_0317_scr_tuned_scr_12_lcross_entropy_bc24_fz6_elr0p36_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_12_lcross_entropy_bc24_fz6_elr0p36_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,24,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8461538461538461,0.6986542443064182,0.7291666666666666,0.6875,0.6626984126984127,CONTINUE<->WRIST_CW:2
s3_demo3_0317_scr_tuned_scr_13_lcross_entropy_bc24_fz8_elr0p24_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_13_lcross_entropy_bc24_fz8_elr0p24_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,24,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.9230769230769231,0.890916149068323,0.9166666666666666,0.9375,0.9267399267399267,CONTINUE<->WRIST_CW:3
s3_demo3_0317_scr_tuned_scr_14_lcross_entropy_bc24_fz8_elr0p3_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_14_lcross_entropy_bc24_fz8_elr0p3_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,24,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8269230769230769,0.672875816993464,0.7430555555555556,0.6875,0.6560846560846559,CONTINUE<->WRIST_CW:3
s3_demo3_0317_scr_tuned_scr_15_lcross_entropy_bc24_fz8_elr0p36_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_15_lcross_entropy_bc24_fz8_elr0p36_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,24,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8846153846153846,0.7927018633540373,0.8333333333333334,0.8125,0.8030303030303031,CONTINUE<->WRIST_CW:3
s3_demo3_0317_scr_tuned_scr_16_lcross_entropy_bc24_fz10_elr0p24_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_16_lcross_entropy_bc24_fz10_elr0p24_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,24,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.9038461538461539,0.8413419913419913,0.8611111111111112,0.8125,0.8321678321678321,THUMB_UP<->WRIST_CW:3
s3_demo3_0317_scr_tuned_scr_17_lcross_entropy_bc24_fz10_elr0p3_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_17_lcross_entropy_bc24_fz10_elr0p3_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,24,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.9230769230769231,0.8576298701298701,0.8819444444444444,0.875,0.8607226107226107,CONTINUE<->WRIST_CW:2
s3_demo3_0317_scr_tuned_scr_18_lcross_entropy_bc24_fz10_elr0p36_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_18_lcross_entropy_bc24_fz10_elr0p36_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,24,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.9230769230769231,0.7916666666666666,0.7916666666666666,0.75,0.7222222222222222,TENSE_OPEN<->THUMB_UP:4
s3_demo3_0317_scr_tuned_scr_19_lcb_focal_bc16_fz6_elr0p24_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_19_lcb_focal_bc16_fz6_elr0p24_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8269230769230769,0.7289394374282434,0.7777777777777778,0.75,0.7488344988344987,CONTINUE<->WRIST_CW:3
s3_demo3_0317_scr_tuned_scr_20_lcb_focal_bc16_fz6_elr0p3_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_20_lcb_focal_bc16_fz6_elr0p3_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8846153846153846,0.7083333333333333,0.7083333333333334,0.625,0.611111111111111,TENSE_OPEN<->WRIST_CW:3
s3_demo3_0317_scr_tuned_scr_21_lcb_focal_bc16_fz6_elr0p36_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_21_lcb_focal_bc16_fz6_elr0p36_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8461538461538461,0.7792065314453374,0.8402777777777778,0.8125,0.8164983164983165,CONTINUE<->THUMB_UP:4
s3_demo3_0317_scr_tuned_scr_22_lcb_focal_bc16_fz8_elr0p24_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_22_lcb_focal_bc16_fz8_elr0p24_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8269230769230769,0.6848555211558307,0.7430555555555556,0.6875,0.6555555555555556,CONTINUE<->WRIST_CW:4
s3_demo3_0317_scr_tuned_scr_23_lcb_focal_bc16_fz8_elr0p3_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_23_lcb_focal_bc16_fz8_elr0p3_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.7884615384615384,0.5651737967914439,0.6388888888888888,0.5625,0.5023809523809524,TENSE_OPEN<->THUMB_UP:5
s3_demo3_0317_scr_tuned_scr_24_lcb_focal_bc16_fz8_elr0p36_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_24_lcb_focal_bc16_fz8_elr0p36_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8269230769230769,0.6988583312112724,0.7222222222222222,0.6875,0.670995670995671,CONTINUE<->WRIST_CW:4
